empty_slots,free_bikes,id,latitude,longitude,name
17,1,6c24a62b5ee0a2a8014eb0dfb6d40025,49.28062,-123.12482,Hornby & Nelson
12,3,fad9ebcf614dd1a72593a34072ff76f8,49.279938,-123.127478,Helmcken & Burrard
7,7,3a4131fa94946d93d3529136efd62413,49.273663,-123.127075,Pacific & Richards
10,4,25318ec3e06fae1397a3a2f645104149,49.28972,-123.144028,Chilco & Beach
6,6,444991edc9550be0908f032da5e3c95f,49.285253,-123.134356,Comox & Broughton
18,4,434b6f4e7fc30198f901b60fc905f609,49.283343,-123.131099,Bute & Comox
9,23,f97d5bf41f35aa181288429fb52e3488,49.284605,-123.108662,Cambie & Water
6,22,fef69fb400210d861107a61db954d037,49.279821,-123.10802,Keefer & Abbott
4,12,9d3123425823420514b8ad410074f02d,49.278004,-123.105664,Expo & Carrall
0,14,f1ca711137cde59e824167a4274df888,49.279342,-123.101822,Keefer & Columbia
8,18,4f6ebf2026d540ffe40e29a80138ad5e,49.273833,-123.114373,Marinaside & Cooperage
26,0,be14efdc86dedd6a8cd338e78ab4e7c7,49.28526,-123.141809,Bidwell & Burnaby
9,17,6ddeafa873279951630a00191333c45d,49.281506,-123.120101,Robson & Granville
6,8,c7b5bec0b2f4ab9a2d3f9d837725620c,49.276115,-123.114496,Expo & Smithe
13,9,b9fd847d53fe45658fee4c46e7f562b8,49.272827,-123.147744,Cypress & Cornwall
21,7,c2be5403b1c101e8032cf6696457200e,49.269361,-123.13782,Anderson & 2nd
11,3,71c064fa93cab5f0b7306e6c923b77c4,49.2653,-123.13811,7th & Granville
12,2,96bf713e60bc35cc2feb5fd53a4f3471,49.262598,-123.138921,10th & Granville
13,1,8dc684732a2a25bdf63ec0ecccee4e6e,49.25894,-123.139272,14th & Granville
11,3,686c0fdb962e26e274d81fc286c010dd,49.258763,-123.115392,14th & Cambie
8,12,0cf6cd1809fa7f510812f5b052f578c4,49.266724,-123.104824,Ontario & 5th
12,5,93c88a18c673e2c72a6afa93d6b89f18,49.262141,-123.101961,10th & Main
9,9,8fb5ce1e34ad31de940481953aea452c,49.268269,-123.147885,Cypress & 4th
9,19,aa704bfba40286bd0661b64d1f75e778,49.275717,-123.142564,Vanier Park
8,11,8c9ea7f2132376859ef34fab981d6932,49.276436,-123.11877,Nelson & Mainland
10,8,1d4153659a0a0a2089078c739df6737d,49.277844,-123.120942,Nelson & Richards
11,7,fbb4c06b719596c21f91fd51ef6d4710,49.265089,-123.119425,7th & Heather
8,12,72c1049dfbbde7c24ec45c14f1a5ee85,49.28026,-123.135244,Harwood & Bute
13,5,00fa94ad698dc4a9e4d708d6fd32f294,49.291909,-123.140713,Chilco & Barclay
9,7,efa947b901a2cf85b58320b3ad26a2fe,49.293257,-123.138563,Chilco & Robson
4,14,66a53e9c32e4f5c724f9478240020142,49.288011,-123.132006,Nicola & Robson
3,15,97b25faf822b93fdbf72da1d594c0288,49.28117,-123.104419,Carrall & Hastings
21,7,6c7fb9043e6df5a4cc50404581a947b9,49.283227,-123.120523,šxʷƛ̓ənəq Xwtl'e7énḵ Square - Vancouver Art Gallery
11,5,30bf49544b1c864688b78172d42cca5e,49.299292,-123.130281,Stanley Park - Vancouver Aquarium
