Name,Rating,Longitude,Latitude,Address,Zipcode,station_id
La Taqueria Pinche Taco Shop,4.0,-123.112736,49.263559,2450 Yukon Street,V5Z 3V6,485d4d24c803cfde829ab89699fed833
Marulilu Cafe,4.0,-123.11415,49.26338,451 W Broadway,V5Y 1R4,485d4d24c803cfde829ab89699fed833
Peaceful Restaurant,3.5,-123.116143,49.263147,110-532 W Broadway,V5Z 1E9,485d4d24c803cfde829ab89699fed833
Uma Sushi,4.5,-123.1137294,49.2638048,450 W 8th Avenue,V5Y 1N9,485d4d24c803cfde829ab89699fed833
The Flying Pig,4.0,-123.122,49.27501,1168 Hamilton Street,V6B 2S2,b07d513f87897cff7319a0e59d7e567c
OEB Breakfast Co. Yaletown,4.5,-123.1192724,49.2734341,1137 Marinaside Crescent,V6Z 2Y3,b07d513f87897cff7319a0e59d7e567c
Fanny Bay Oyster Bar & Shellfish Market,4.5,-123.1138689,49.2787525,762 Cambie St,V6B 2P2,b07d513f87897cff7319a0e59d7e567c
Robba da Matti,4.0,-123.1208967,49.2753397,1127 Mainland Street,V6B 5P2,b07d513f87897cff7319a0e59d7e567c
Blue Water Cafe,4.5,-123.1209935,49.2761945,1095 Hamilton St,V6B 5T4,b07d513f87897cff7319a0e59d7e567c
Rodney's Oyster House,4.0,-123.123131,49.274326,1228 Hamilton Street,V6B 6L2,b07d513f87897cff7319a0e59d7e567c
Minami,4.0,-123.1207029,49.2752733,1118 Mainland Street,V6B 2T9,b07d513f87897cff7319a0e59d7e567c
Lupo,4.5,-123.1174,49.27823,869 Hamilton Street,V6B 2R7,b07d513f87897cff7319a0e59d7e567c
Manoush'eh,5.0,-123.12570086148996,49.27667072314417,620 Davie Street,V6B 2G5,b07d513f87897cff7319a0e59d7e567c
La Taqueria Pinche Taco Shop,4.0,-123.112736,49.263559,2450 Yukon Street,V5Z 3V6,b07d513f87897cff7319a0e59d7e567c
The Flying Pig,4.0,-123.122,49.27501,1168 Hamilton Street,V6B 2S2,d1c9556d92f329703229fb3e33899a3b
OEB Breakfast Co. Yaletown,4.5,-123.1192724,49.2734341,1137 Marinaside Crescent,V6Z 2Y3,d1c9556d92f329703229fb3e33899a3b
Blue Water Cafe,4.5,-123.1209935,49.2761945,1095 Hamilton St,V6B 5T4,d1c9556d92f329703229fb3e33899a3b
Robba da Matti,4.0,-123.1208967,49.2753397,1127 Mainland Street,V6B 5P2,d1c9556d92f329703229fb3e33899a3b
Rodney's Oyster House,4.0,-123.123131,49.274326,1228 Hamilton Street,V6B 6L2,d1c9556d92f329703229fb3e33899a3b
La Taqueria Pinche Taco Shop,4.0,-123.112736,49.263559,2450 Yukon Street,V5Z 3V6,d1c9556d92f329703229fb3e33899a3b
Manoush'eh,5.0,-123.12570086148996,49.27667072314417,620 Davie Street,V6B 2G5,d1c9556d92f329703229fb3e33899a3b
